Brazil;Chile;China;Colombia;Egypt;Greece;Hungary;India;Indonesia;Malaysia;Mexico;Morocco;Peru;Philippines;Poland;South Africa;Taiwan;Thailand;Turkey
1672;3670;448;2153;910;1915;2480;619;817;1559;2365;1455;2308;1070;2447;2535;916;817;1623
1702;3731;491;2150;905;2062;2695;623;864;1440;2477;1458;2426;1151;2510;2591;949;849;1784
1752;3893;538;2214;900;2053;2762;629;901;1471;2504;1460;2487;1186;2521;2619;1028;869;1947
1784;4112;552;2277;894;2309;2786;657;913;1440;2439;1468;2579;1254;2618;2675;1084;935;2108
1848;3907;557;2358;889;2358;2850;672;962;1490;2605;1476;2583;1308;2715;2763;1145;898;1993
1926;3975;577;2373;885;2514;3070;676;948;1460;2742;1483;2703;1358;2794;2830;1189;945;2093
1896;3957;616;2391;905;2706;2906;701;955;1505;2843;1451;2751;1410;2864;2914;1208;930;2097
1994;4264;636;2400;925;2859;3169;680;977;1455;2965;1420;2810;1442;2962;2951;1253;910;2194
2111;4392;690;2383;947;2963;3367;716;947;1413;3025;1389;2743;1448;3057;2939;1290;914;2222
2221;4042;686;2473;969;3040;3484;717;987;1467;3016;1358;2682;1501;3096;2995;1329;992;2252
2335;4270;662;2497;991;3146;3649;753;1015;1530;3155;1329;2969;1476;3215;3041;1353;1078;2247
2437;4366;553;2540;1031;3393;3816;758;1048;1592;3172;1341;3142;1512;3426;3092;1398;1100;2221
2511;4465;550;2594;1074;3499;3962;758;1025;1637;3211;1354;3281;1537;3341;3179;1459;1149;2297
2463;4639;590;2597;1120;3841;4168;779;951;1669;3343;1367;3334;1595;3502;3321;1545;1205;2454
2472;4638;645;2675;1166;4141;4388;821;978;1728;3594;1381;3465;1600;3622;3450;1679;1249;2496
2448;4577;702;2689;1213;4509;4410;771;990;1804;3702;1394;3594;1633;3787;3559;1810;1308;2504
2527;4984;746;2750;1192;4749;4646;762;965;1846;3813;1436;3788;1654;3991;3615;1916;1412;2735
2554;5046;707;2784;1151;4951;4894;807;934;1830;3922;1480;3831;1690;4103;3760;2070;1486;2795
2704;5128;675;2874;1146;5266;4934;809;1018;1942;4073;1524;3685;1722;4317;3819;2186;1561;2917
2860;5220;713;2976;1201;5766;5062;845;1105;2005;4185;1570;3676;1750;4241;3946;2334;1636;3002
3057;5231;778;3094;1254;6211;5028;868;1231;2079;4320;1616;3854;1764;4428;4045;2537;1694;3078
3278;5597;795;3194;1283;6624;5238;856;1247;2180;4365;1665;3916;1808;4707;4135;2804;1725;3282
3538;5429;798;3355;1284;7400;5336;834;1364;2289;4602;1669;3930;1853;5010;4109;3113;1748;3412
3880;5034;838;3499;1294;7655;5596;853;1544;2560;4853;1694;4023;1964;5340;4175;3448;1874;3477
4081;4992;835;3618;1317;7350;5716;843;1549;2688;5013;1751;4119;1979;5601;4299;3422;1910;3665
4187;4273;871;3621;1421;7722;5805;897;1515;2648;5158;1831;4326;2033;5808;4271;3522;1959;3895
4470;4347;853;3713;1606;8105;5791;889;1616;2910;5244;1992;4271;2152;5895;4267;3918;2091;4138
4565;4700;894;3793;1767;8255;6126;937;1698;3076;5293;2050;4157;2211;5949;4155;4236;2249;4224
4678;5011;978;4042;1844;8695;6253;966;1740;3271;5595;2069;4049;2262;6111;4174;4717;2422;4255
4890;5345;1039;4177;1930;8904;6251;895;1786;3457;5968;2122;4181;2323;5942;4232;4998;2496;4133
5195;5680;1061;4257;2069;8971;6306;938;1898;3657;6320;2272;4263;2376;5740;4390;5260;2554;4022
4850;5932;1110;4255;2076;8896;6351;977;1969;3824;6717;2169;4342;2396;5385;4480;5489;2654;4087
4763;5035;1186;4202;2223;8879;6583;985;1860;3954;6514;2337;4247;2421;5288;4323;5590;2745;4182
4498;4810;1258;4175;2322;8866;6525;1043;1880;4096;6088;2262;3594;2407;5498;4112;5979;2847;4230
4643;5011;1396;4229;2390;9067;6710;1060;1971;4308;6162;2294;3676;2176;5650;4186;6521;2961;4367
4914;5030;1519;4272;2471;9316;6557;1079;1984;4157;6194;2374;3666;1967;5660;4006;6762;3050;4485
5202;5227;1597;4436;2460;9440;6699;1101;2069;4105;5834;2495;3946;1983;5797;3912;7477;3170;4695
5270;5480;1737;4577;2465;9375;6814;1125;2138;4218;5818;2378;4192;2019;5683;3897;8598;3421;4998
5155;5780;1830;4669;2510;9784;7031;1216;2227;4482;5771;2558;3766;2105;5789;3964;8898;3820;5086
5224;6283;1834;4726;2528;10111;6903;1270;2388;4789;5899;2555;3237;2184;5684;3956;9538;4225;5041
4920;6401;1871;4826;2523;10015;6459;1309;2514;5131;6085;2591;3008;2197;5113;3834;9938;4633;5399
4888;6784;1967;4840;2532;10204;5676;1305;2694;5469;6226;2720;3028;2136;4738;3715;10610;4957;5346
4782;7483;2132;4950;2505;10201;5510;1350;2842;5802;6333;2566;2953;2099;4842;3564;11304;5344;5562
4937;7869;2312;5131;2544;9982;5506;1401;2998;6219;6339;2496;3030;2099;5011;3533;11950;5734;5902
5145;8182;2515;5293;2615;10136;5687;1464;3170;6622;6504;2709;3351;2144;5265;3584;12731;6115;5482
5280;8910;2863;5470;2696;10321;5781;1543;3374;7092;6001;2490;3573;2193;5623;3646;13418;6531;5775
5313;9427;2892;5497;2789;10543;5802;1635;3576;7608;6209;2750;3599;2267;5970;3753;14050;6820;6073
5411;9906;3013;5607;2890;10902;6001;1675;3684;7955;6526;2648;3783;2331;6388;3803;14696;6559;6421
5334;10088;2993;5563;3042;11250;6263;1755;3151;7179;6754;2811;3700;2267;6704;3770;15069;5994;6510
5270;9884;3162;5269;3158;11616;6482;1835;3127;7425;6916;2787;3680;2287;7008;3810;15843;6212;6188
5418;10199;3421;5375;3258;12111;6772;1882;3229;7874;7275;2794;3737;2336;7309;3920;16628;6440;6502
5412;10421;3759;5409;3301;12592;7035;1957;3299;7719;7178;2966;3695;2349;7399;3982;16238;6611;6035
5481;10533;4197;5476;3333;12998;7365;1997;3399;7952;7146;3026;3831;2382;7509;4084;17001;6967;6308
5472;10837;4803;5614;3367;13742;7664;2130;3513;8211;7159;3178;3937;2448;7804;4160;17547;7412;6540
5713;11485;5169;5831;3430;14313;8047;2273;3640;8563;7362;3291;4084;2557;8226;4306;18564;7824;7045
5824;12080;5575;6022;3508;14611;8379;2424;3799;8848;7514;3349;4313;2625;8529;4490;19367;8093;7526
5988;12648;6048;6340;3669;15392;8715;2612;3957;9180;7803;3568;4596;2708;9065;4698;20340;8435;7930
6285;13176;6303;6690;3847;15827;8736;2810;4156;9590;7972;3623;4950;2829;9684;4914;21470;8835;8185
6542;13479;6725;6840;4038;15778;8826;2952;4354;9880;7978;3782;5376;2888;10186;5048;21554;8923;8127
6457;13210;7308;6854;4141;15244;8237;3154;4500;9571;7392;3926;5365;2864;10356;4943;21092;8768;7633
6879;13883;8032;7063;4267;14691;8353;3372;4722;10094;7716;4027;5774;3024;10762;5080;23292;9372;8225
